id,w2_brokeup,w1_age,w1_p_page,w1_attraction,w1_q21a_year,w1_p_edu,w1_p_polparty,w1_same_hs,w1_same_college,w1_partnership_status_cohab,w1_rel_qual,w1_sex_frequency,w1_otherdate_all,w1_same_sex_couple_gender,w1_married,w1_cohab,w1_hh_income,w1_employed,w1_polparty,w1_relig_attend,w1_times_marrid,w1_p_race,w1_how_met,w1_earned_more,w1_p_gender,w1_gender,w1_q24_met_through_family,w1_q24_met_through_friend,w1_q24_met_through_as_nghbrs,w2_nonshelter,w2_shelter_combo_months,w2_myhealth,w2_myhealth_why_1,w2_parthealth,w2_parthealth_why_1,w1_yrsed,w1_p_yrsed
279,0,70,70,1,1968,12,2,2,2,1,1,5,1,0,1,1,18,5,1,1,1,0,1,3,2,1,0,1,0,2,0,2,NA,2,NA,16,16
280,1,25,31,1,2014,9,4,2,NA,1,1,3,1,0,1,1,4,1,5,6,1,8,1,1,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,12,12
281,0,40,42,1,1992,10,6,1,2,1,2,4,1,0,1,1,18,2,3,6,2,2,1,3,1,2,0,0,0,NA,2,2,NA,2,NA,16,13
282,0,41,40,1,1996,9,7,2,NA,1,1,2,2,0,1,1,8,1,7,3,1,10,6,1,2,1,0,0,0,NA,4,2,NA,2,NA,12,12
283,0,47,48,1,1990,14,4,2,2,1,3,5,1,0,1,1,16,7,5,6,1,0,1,3,1,2,0,0,0,2,0,2,NA,2,NA,16,20
284,1,50,48,1,2011,13,4,2,2,3,2,4,2,0,0,2,15,5,2,4,1,20,3,2,2,1,0,0,0,2,0,1,1,NA,NA,16,17
285,0,57,52,1,1977,10,5,1,2,1,1,3,1,0,1,1,21,2,7,3,2,13,1,1,2,1,0,0,0,1,0,2,NA,2,NA,14,13
286,0,49,52,1,1994,11,1,2,2,1,1,3,1,0,1,1,16,1,1,4,1,4,1,2,2,1,1,0,1,NA,6,2,NA,2,NA,14,14
287,0,62,52,1,1989,10,4,2,2,1,1,5,1,0,1,1,18,5,2,6,3,0,1,1,2,1,0,0,0,NA,0.75,2,NA,2,NA,14,13
288,0,60,61,1,1977,13,1,2,1,1,1,3,1,0,1,1,13,2,2,2,1,0,1,3,1,2,0,1,0,NA,6,2,NA,2,NA,16,17
289,0,77,77,1,1955,9,4,2,NA,1,1,-1,1,0,1,1,12,5,5,3,1,10,1,2,1,2,0,1,0,NA,6,2,NA,2,NA,12,12
290,0,68,68,1,1965,9,-1,1,NA,4,NA,NA,1,0,0,NA,11,2,2,5,0,1,1,1,1,2,0,0,0,3,0,2,NA,2,NA,17,12
291,0,64,56,1,1979,9,4,2,NA,1,2,5,1,0,1,1,15,1,5,5,2,0,1,1,2,1,0,0,0,NA,0.25,2,NA,1,0,12,12
292,0,56,62,1,1993,9,5,2,NA,1,2,5,1,0,1,1,20,1,3,2,1,0,1,1,2,1,0,0,0,NA,2,2,NA,2,NA,20,12
293,0,70,66,1,1991,12,1,2,2,1,1,5,1,0,1,1,19,5,6,2,2,1,1,1,1,2,0,0,0,NA,2,2,NA,2,NA,17,16
294,0,65,60,1,2001,14,6,2,2,3,1,3,1,0,0,2,17,1,7,6,3,0,1,3,2,1,1,0,0,NA,0.75,2,NA,2,NA,16,20
295,0,56,59,1,1979,10,5,2,2,1,1,3,1,0,1,1,16,1,5,5,1,0,1,1,2,1,0,0,0,2,0,2,NA,2,NA,17,13
296,0,64,65,1,1976,13,7,2,2,1,1,3,1,0,1,1,13,1,7,6,1,2,1,3,1,2,0,0,0,NA,6,2,NA,2,NA,16,17
297,0,44,44,1,2001,13,7,2,NA,1,2,5,1,0,1,1,20,1,5,6,1,6,1,2,2,1,0,0,0,NA,0.25,2,NA,2,NA,12,17
